site_index,continent,country,region,managed,burned,grazed,anthropogenic,habitat,elevation,latitude,longitude,experiment_type,block,plot,trt,first_nutrient_year,first_fenced_year,other
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),1,1,Control,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),1,2,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),1,3,NPK,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),1,4,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),1,5,Control,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),2,6,Control,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),2,7,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),2,8,NPK,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),2,9,Control,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),2,10,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),3,11,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),3,12,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),3,13,Control,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),3,14,Control,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),3,15,NPK,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),4,16,Control,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),4,17,NPK,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),4,18,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),4,19,Control,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),4,20,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),5,21,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),5,22,NPK,2024,NA,Disturbance
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),5,23,Control,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),5,24,NPK,2024,NA,Control
blad.us.dragnet,North America,US,Atlantic Coast (North America),unknown,unknown,unknown,unknown,unknown,27.72,34.71954,-78.49034,Experimental (Nutrients Only),5,25,Control,2024,NA,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),1,1,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),1,2,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),1,3,Control,2023,2008,Control
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),1,4,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),1,5,Control,2023,2008,Control
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),2,6,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),2,7,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),2,8,Control,2023,2008,Control
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),2,9,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),2,10,Control,2023,2008,Control
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),3,11,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),3,12,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),3,13,NPK,2023,2008,Disturbance
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),3,14,Control,2023,2008,Control
kzbg.at.dragnet,Europe,AT,Europe,1,0,0,1,grassland,400,46.9626,15.2747,Experimental (Nutrients Only),3,15,Control,2023,2008,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),1,1,Control,2024,2024,Disturbance
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),1,2,NPK,2024,2024,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),1,3,NPK,2024,2024,Disturbance
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),1,4,Control,2024,2024,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),2,5,NPK,2024,2024,Disturbance
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),2,6,NPK,2024,2024,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),2,7,Control,2024,2024,Disturbance
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),2,8,Control,2024,2024,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),3,9,Control,2024,2024,Disturbance
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),3,10,NPK,2024,2024,Disturbance
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),3,11,Control,2024,2024,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),3,12,NPK,2024,2024,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),4,13,Control,2024,2024,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),4,14,Control,2024,2024,Disturbance
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),4,15,NPK,2024,2024,Control
stzk.at.dragnet,Europe,AT,Europe,1,0,1,1,grassland,1762,47.456123,13.814147,Experimental (Nutrients Only),4,16,NPK,2024,2024,Disturbance
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),1,1,Disturb,2022,NA,Disturbance
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),1,2,NPK,2022,NA,Control
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),1,3,Control,2022,NA,Control
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),1,4,NPK+Disturb,2022,NA,Disturbance
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),1,5,NPK_Cessation,2022,NA,Control
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),2,6,Control,2022,NA,Control
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),2,7,NPK,2022,NA,Control
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),2,8,NPK_Cessation,2022,NA,Control
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),2,9,Disturb,2022,NA,Disturbance
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),2,10,NPK+Disturb,2022,NA,Disturbance
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),3,11,NPK,2022,NA,Control
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),3,12,NPK+Disturb,2022,NA,Disturbance
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),3,13,NPK_Cessation,2022,NA,Control
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),3,14,Disturb,2022,NA,Disturbance
nillah.au.dragnet,Australia,AU,Australia,unknown,unknown,unknown,unknown,unknown,280.0986,-36896,146007,Experimental (Nutrients Only),3,15,Control,2022,NA,Control
